,Unnamed: 0,FieldID,Model,Metric,Irrigation
80,80.0,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),10.510859558623109
0,0.0,NB1,XGBoost Full,RMSE (mm),24.92067577306219
1,1.0,NB1,XGBoost Full,PBIAS (%),1.8782051775649744
2,2.0,NB1,XGBoost Full,NMAE (%),5.925979724466428
3,3.0,NC1,XGBoost Full,RMSE (mm),14.162217956442955
4,4.0,NC1,XGBoost Full,PBIAS (%),-1.324795218622128
5,5.0,NC1,XGBoost Full,NMAE (%),6.950603771602339
6,6.0,NC2,XGBoost Full,RMSE (mm),41.31283983715594
7,7.0,NC2,XGBoost Full,PBIAS (%),-20.588921941355277
8,8.0,NC2,XGBoost Full,NMAE (%),20.588921941355277
9,9.0,NW1,XGBoost Full,RMSE (mm),20.712128347132257
10,10.0,NW1,XGBoost Full,PBIAS (%),-0.8448025033024746
11,11.0,NW1,XGBoost Full,NMAE (%),5.01598670614282
12,12.0,NW2,XGBoost Full,RMSE (mm),35.72496034328571
13,13.0,NW2,XGBoost Full,PBIAS (%),-4.419664539728129
14,14.0,NW2,XGBoost Full,NMAE (%),9.945955373597888
15,15.0,NW3,XGBoost Full,RMSE (mm),39.0135525604366
16,16.0,NW3,XGBoost Full,PBIAS (%),0.7564579161470327
17,17.0,NW3,XGBoost Full,NMAE (%),10.178335591106263
18,18.0,NW4,XGBoost Full,RMSE (mm),37.96178136840093
19,19.0,NW4,XGBoost Full,PBIAS (%),3.352492916153203
20,20.0,NW4,XGBoost Full,NMAE (%),8.728437389601954
21,21.0,NW5,XGBoost Full,RMSE (mm),35.17924702321241
22,22.0,NW5,XGBoost Full,PBIAS (%),-2.648373210927854
23,23.0,NW5,XGBoost Full,NMAE (%),9.605731667509785
24,24.0,NW6,XGBoost Full,RMSE (mm),0.4365874968750063
25,25.0,NW6,XGBoost Full,PBIAS (%),-0.1130415976099581
26,26.0,NW6,XGBoost Full,NMAE (%),0.1130415976099581
27,27.0,NW7,XGBoost Full,RMSE (mm),26.409179628069385
28,28.0,NW7,XGBoost Full,PBIAS (%),1.045605906674453
29,29.0,NW7,XGBoost Full,NMAE (%),6.440314243975457
30,30.0,SW1,XGBoost Full,RMSE (mm),36.60010967183414
31,31.0,SW1,XGBoost Full,PBIAS (%),4.553056127214561
32,32.0,SW1,XGBoost Full,NMAE (%),6.533586694778443
33,33.0,WC1,XGBoost Full,RMSE (mm),22.66371557608605
34,34.0,WC1,XGBoost Full,PBIAS (%),4.106423287621242
35,35.0,WC1,XGBoost Full,NMAE (%),5.84572480819301
36,36.0,WC11,XGBoost Full,RMSE (mm),13.423622802734371
37,37.0,WC11,XGBoost Full,PBIAS (%),3.580549368034049
38,38.0,WC11,XGBoost Full,NMAE (%),3.580549368034049
39,39.0,WC16,XGBoost Full,RMSE (mm),41.389363037109376
40,40.0,WC16,XGBoost Full,PBIAS (%),-16.443011925085365
41,41.0,WC16,XGBoost Full,NMAE (%),16.443011925085365
42,42.0,WC19,XGBoost Full,RMSE (mm),7.779373779296861
43,43.0,WC19,XGBoost Full,PBIAS (%),1.505034684226211
44,44.0,WC19,XGBoost Full,NMAE (%),1.505034684226211
45,45.0,WC2,XGBoost Full,RMSE (mm),20.118817871093768
46,46.0,WC2,XGBoost Full,PBIAS (%),7.091131994125775
47,47.0,WC2,XGBoost Full,NMAE (%),7.091131994125775
48,48.0,WC21,XGBoost Full,RMSE (mm),8.267387939453101
49,49.0,WC21,XGBoost Full,PBIAS (%),2.2157094224077394
50,50.0,WC21,XGBoost Full,NMAE (%),2.2157094224077394
51,51.0,WC22,XGBoost Full,RMSE (mm),33.16319981457509
52,52.0,WC22,XGBoost Full,PBIAS (%),-10.848286384728674
53,53.0,WC22,XGBoost Full,NMAE (%),10.848286384728675
54,54.0,WC23,XGBoost Full,RMSE (mm),64.81938403320314
55,55.0,WC23,XGBoost Full,PBIAS (%),-29.434189772499582
56,56.0,WC23,XGBoost Full,NMAE (%),29.434189772499582
57,57.0,WC24,XGBoost Full,RMSE (mm),4.748546874999988
58,58.0,WC24,XGBoost Full,PBIAS (%),1.1181259830746308
59,59.0,WC24,XGBoost Full,NMAE (%),1.1181259830746308
60,60.0,WC25,XGBoost Full,RMSE (mm),20.59402001953123
61,61.0,WC25,XGBoost Full,PBIAS (%),-6.404330092775069
62,62.0,WC25,XGBoost Full,NMAE (%),6.404330092775069
63,63.0,WC3,XGBoost Full,RMSE (mm),21.43634667968752
64,64.0,WC3,XGBoost Full,PBIAS (%),-7.429143104582843
65,65.0,WC3,XGBoost Full,NMAE (%),7.429143104582843
66,66.0,WC4,XGBoost Full,RMSE (mm),9.509676757812484
67,67.0,WC4,XGBoost Full,PBIAS (%),-2.545185062872352
68,68.0,WC4,XGBoost Full,NMAE (%),2.545185062872352
69,69.0,WC5,XGBoost Full,RMSE (mm),32.25193999254169
70,70.0,WC5,XGBoost Full,PBIAS (%),0.6051567133180588
71,71.0,WC5,XGBoost Full,NMAE (%),8.451912756701507
72,72.0,WC6,XGBoost Full,RMSE (mm),6.501541748046861
73,73.0,WC6,XGBoost Full,PBIAS (%),2.2066052633881554
74,74.0,WC6,XGBoost Full,NMAE (%),2.2066052633881554
75,75.0,WC8,XGBoost Full,RMSE (mm),27.809799853353248
76,76.0,WC8,XGBoost Full,PBIAS (%),5.701442356541663
77,77.0,WC8,XGBoost Full,NMAE (%),5.701442356541663
78,78.0,WC9,XGBoost Full,RMSE (mm),55.05103247070315
79,79.0,WC9,XGBoost Full,PBIAS (%),14.156521770728602
80,80.0,WC9,XGBoost Full,NMAE (%),14.156521770728602
0,,NB1,XGBoost Leave-One-Field-Out,RMSE (mm),38.6875529226008
1,,NB1,XGBoost Leave-One-Field-Out,PBIAS (%),3.6021857952976952
2,,NB1,XGBoost Leave-One-Field-Out,NMAE (%),9.700841271999547
3,,NC1,XGBoost Leave-One-Field-Out,RMSE (mm),24.501904012684285
4,,NC1,XGBoost Leave-One-Field-Out,PBIAS (%),-10.893149642550958
5,,NC1,XGBoost Leave-One-Field-Out,NMAE (%),10.893149642550958
6,,NC2,XGBoost Leave-One-Field-Out,RMSE (mm),125.38130729688052
7,,NC2,XGBoost Leave-One-Field-Out,PBIAS (%),-64.74617373660419
8,,NC2,XGBoost Leave-One-Field-Out,NMAE (%),64.74617373660419
9,,NW1,XGBoost Leave-One-Field-Out,RMSE (mm),35.416539374341006
10,,NW1,XGBoost Leave-One-Field-Out,PBIAS (%),0.17682101366173797
11,,NW1,XGBoost Leave-One-Field-Out,NMAE (%),8.26660076642725
12,,NW2,XGBoost Leave-One-Field-Out,RMSE (mm),63.51404046074703
13,,NW2,XGBoost Leave-One-Field-Out,PBIAS (%),-9.199031486432235
14,,NW2,XGBoost Leave-One-Field-Out,NMAE (%),17.6143645944218
15,,NW3,XGBoost Leave-One-Field-Out,RMSE (mm),60.196901178644936
16,,NW3,XGBoost Leave-One-Field-Out,PBIAS (%),0.8100404029548343
17,,NW3,XGBoost Leave-One-Field-Out,NMAE (%),15.659645567197623
18,,NW4,XGBoost Leave-One-Field-Out,RMSE (mm),57.01866669664454
19,,NW4,XGBoost Leave-One-Field-Out,PBIAS (%),8.57100535695759
20,,NW4,XGBoost Leave-One-Field-Out,NMAE (%),13.613405805123408
21,,NW5,XGBoost Leave-One-Field-Out,RMSE (mm),55.42317746329316
22,,NW5,XGBoost Leave-One-Field-Out,PBIAS (%),-6.844210699750065
23,,NW5,XGBoost Leave-One-Field-Out,NMAE (%),15.667118311813114
24,,NW6,XGBoost Leave-One-Field-Out,RMSE (mm),24.18459780585937
25,,NW6,XGBoost Leave-One-Field-Out,PBIAS (%),6.261896167657151
26,,NW6,XGBoost Leave-One-Field-Out,NMAE (%),6.261896167657151
27,,NW7,XGBoost Leave-One-Field-Out,RMSE (mm),30.901438329186327
28,,NW7,XGBoost Leave-One-Field-Out,PBIAS (%),1.4379019641383468
29,,NW7,XGBoost Leave-One-Field-Out,NMAE (%),7.497864675452328
30,,SW1,XGBoost Leave-One-Field-Out,RMSE (mm),108.79658526702406
31,,SW1,XGBoost Leave-One-Field-Out,PBIAS (%),19.115241134842886
32,,SW1,XGBoost Leave-One-Field-Out,NMAE (%),19.184861982104092
33,,WC1,XGBoost Leave-One-Field-Out,RMSE (mm),34.66532868192643
34,,WC1,XGBoost Leave-One-Field-Out,PBIAS (%),5.198393997555331
